,DESCRIPTION,CATEGORY
8484,"till now I thought I am depressed,but I am seeing some group was following me on the street.they are using abusive words for others also.",Sexual Invites
8485,THE  grama panchayat has  impose public  nuisances   on cases  which i file to than to polices station   (  WE NEEDED TO GO FOR MRI SCAN WITH A RELATIVE AT UPSANA HOSPITAL AND I NEEDED TO CHANGE MY CLOTHS.THIS PERSON OPENED THE DOOR TO MY MRI SCAN AND I WAS ILL PERSON . THE DOOR WAS CLOSED BUT FORGET TO LOCK IT.  (The same person which we  to  the  hospital  for treatment in auto rickshaw .)HE OPENED IT ON PURPOSE WITH ONE OLD MEN STANDING NEXT TO HIM THERE WAS FILLED WITH CROWD! !) i don't know any monkey acts shown  by public !some actions ! i just the actions out !,Ogling/Facial Expressions/Staring
8486,WE NEEDED TO GO FOR MRI SCAN WITH A RELATIVE AT UPSANA HOSPITAL IN KERALA  AND I NEEDED TO CHANGE MY CLOTHS.THIS PERSON OPENED THE DOOR TO MY MRI SCAN AND I WAS ILL PERSON .THE DOOR WAS CLOSED BUT FORGET TO LOCK IT. HE WAS  SAME PERSON WHICH WE CALL FOR TRAVELLING TO TO HOSPITAL . IT IS THE SAME PERSON IN  AUTO RICKSHAW  HE OPENED IT ON PURPOSE WITH ONE OLD MEN STANDING NEXT TO HIM THERE WAS FILLED WITH CROWD! !,Taking pictures
8487,"My wife was on her way back home from work in her car. She was on the left of the road waiting for the traffic to move. There was a car with 4 men who tried to cut her off by taking a left without following road rules. My wife did not allow them to take a left. A little further from the spot where this happened, the car with the 4 men, stopped her car and glared at her from their car before driving off.",Others
8488,"My train had arrived at 4.15am
The TT on the way out leered at me terribly,,,and i gave him a stern look.
Right after that an old man coming up the stairs started commenting on me,catcalling me,winking and made faces at me. I told him FUCK OFF",Catcalls/Whistles
8489,"A boy of Age 15 years attempt to theft bike , but due to Live monitoring through CCTV, boy captured and send to Police Custody.",Others
8490,"I was walking at 8pm, Ahmedabad, behind Gujurat University, a man followed me, when there was a space in the street he grabbed me by both hands, I shout as loud as possible and run away to the police station. He didn't follow me.",Rape / Sexual Assault
8491,ABUSING AND ASKING TO DIE,Taking pictures
8492,WE NEEDED TO GO FOR MRI SCAN WITH A RELATIVE AT   UPSANA HOSPITAL  AND I NEEDED TO CHANGE MY CLOTHS.THIS PERSON OPENED THE DOOR TO MY MRI SCAN AND I WAS ILL PERSON .THE DOOR WAS CLOSED BUT FORGET TO LOCK IT. HE OPENED IT ON PURPOSE WITH ONE OLD MEN STANDING NEXT TO HIM THERE WAS FILLED WITH CROWD!  !,Taking pictures
8493,"This incident took place at Manav chowk on the red light.I was standing opposite the red light from where there is a free left turn. 

It took place around 5-7 minutes ago which means around 9:35-40am. 

I was waiting there for an auto amd then there is this police innova which takes a left and the person (man) sitting inside it winked at me. That person was not in police uniform but he was driving that police innova so I am guessing he was a police official. I was so shocked.
And these are the people who have been given the responsibility to protect tge society.  There's something very wrong with the system.

I am highly highly disappointed and angry and shocked.",Ogling/Facial Expressions/Staring
8494,Commenting in the mall in the afternoon.,Commenting
8495,people takes advantage in overcrowded metros and buses.they passes lewd comments and groped.,Ogling/Facial Expressions/Staring
8496,"some days ago,when i was going to my home some boys and even aged people started commenting on me and my friend too.",Catcalls/Whistles
8497,some people commenting on our dressingsense in the metro.,Commenting
8498,it was a usual evening out with friends when some guys(rowdy) come along the road and started commenting on a girl abusively.,Catcalls/Whistles
